********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend, C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code,m,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb",
elksmwq,P,10/28/2015 20:30,0,0,,19.2,<0> ,,<-5> ,32.9,<0> ,8.0,<0> ,,<-5> ,,<-1> ,,,1.45,<0> ,1.43,<3> ,8.0,<0> ,11,<0> ,
elksmwq,P,10/28/2015 20:45,0,0,,19.2,<0> ,,<-5> ,32.8,<0> ,8.1,<0> ,,<-5> ,,<-1> ,,,1.53,<0> ,1.51,<3> ,8.0,<0> ,12,<0> ,
elksmwq,P,10/28/2015 21:00,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,8.0,<0> ,,<-5> ,,<-1> ,,,1.60,<0> ,1.58,<3> ,8.0,<0> ,11,<0> ,
elksmwq,P,10/28/2015 21:15,0,0,,19.1,<0> ,,<-5> ,32.9,<0> ,8.1,<0> ,,<-5> ,,<-1> ,,,1.68,<0> ,1.66,<3> ,8.0,<0> ,10,<0> ,
elksmwq,P,10/28/2015 21:30,0,0,,19.1,<0> ,,<-5> ,32.6,<0> ,8.1,<0> ,,<-5> ,,<-1> ,,,1.76,<0> ,1.74,<3> ,8.0,<0> ,11,<0> ,
elksmwq,P,10/28/2015 21:45,0,0,,19.0,<0> ,,<-5> ,32.8,<0> ,8.0,<0> ,,<-5> ,,<-1> ,,,1.83,<0> ,1.81,<3> ,8.0,<0> ,16,<0> ,
elksmwq,P,10/28/2015 22:00,0,0,,18.9,<0> ,,<-5> ,32.8,<0> ,8.0,<0> ,,<-5> ,,<-1> ,,,1.90,<0> ,1.88,<3> ,8.0,<0> ,14,<0> ,
elksmwq,P,10/28/2015 22:15,0,0,,18.8,<0> ,,<-5> ,32.8,<0> ,7.9,<0> ,,<-5> ,,<-1> ,,,1.97,<0> ,1.95,<3> ,8.0,<0> ,16,<0> ,
elksmwq,P,10/28/2015 22:30,0,0,,18.7,<0> ,,<-5> ,32.7,<0> ,7.9,<0> ,,<-5> ,,<-1> ,,,2.03,<0> ,2.01,<3> ,8.0,<0> ,15,<0> ,
elksmwq,P,10/28/2015 22:45,0,0,,18.6,<0> ,,<-5> ,32.7,<0> ,7.9,<0> ,,<-5> ,,<-1> ,,,2.10,<0> ,2.08,<3> ,8.0,<0> ,15,<0> ,
elksmwq,P,10/28/2015 23:00,0,0,,18.4,<0> ,,<-5> ,32.6,<0> ,7.9,<0> ,,<-5> ,,<-1> ,,,2.15,<0> ,2.13,<3> ,8.0,<0> ,14,<0> ,
elksmwq,P,10/28/2015 23:15,0,0,,18.2,<0> ,,<-5> ,32.5,<0> ,7.7,<0> ,,<-5> ,,<-1> ,,,2.21,<0> ,2.19,<3> ,8.0,<0> ,7,<0> ,
